"sNR","SIF","SSRT","propslope","ROI","run1","run2","run3","run4","run5","run6","run7","run8","X","sid"
1,0.079861111,295.1300813,-0.11,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2,0.035897436,402.4227642,-0.045,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
3,0.159191176,367.9818182,-0.125,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
4,0.194444444,288.9256198,-0.555,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,4
5,0.075,296.7226891,-0.035,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
6,-0.027777778,400.1621622,0.015,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
7,-0.003508772,307.0630631,-0.005,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,7
8,-0.021428571,318.9047619,0.05,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,8
9,-0.177083333,443.1415094,0.08,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,9
10,0.044444444,282.826087,-0.06,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,10
11,0.216666667,314.9083969,-0.085,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,11
12,0.15530303,371.76,-0.03,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,12
13,0.088888889,271.2377049,-0.095,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,13
14,-0.022321429,351.0661765,0.735,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,14
15,0.195138889,296.6779661,-0.3,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,15
16,-0.027777778,341.4552846,0.01,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,16
17,0.068421053,347,-0.07,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,17
18,0.029824561,353.7479675,-0.08,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,18
19,-0.012820513,357.1908397,0.07614406,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,19
20,-0.035714286,465.5614035,-0.025,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,20
21,-0.003968254,384.1367521,0.79,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,21
22,0.085227273,332.75,-0.53,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,22
23,0.104166667,360.5882353,-0.05,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,23
24,-0.036210317,408.907563,0.005,"rlpfc",NA,NA,NA,NA,NA,NA,NA,NA,NA,24
1,0.079861111,295.1300813,0.0196567,"HC",0.472527473,0.956043956,1,0,0.285714286,0,0.978021978,0.956043956,NA,1
2,0.035897436,402.4227642,0.201298701,"HC",0.289473684,0.905263158,0.126315789,0.005263158,0.8,0.973684211,0.273684211,0.963157895,NA,2
3,0.159191176,367.9818182,-0.015564551,"HC",0.997,0.0555,0.0195,0,0,0.9415,0.268,NA,NA,3
4,0.194444444,288.9256198,0.003571429,"HC",1,0,0.2,0,0,1,0,0.7,NA,4
5,0.075,296.7226891,-0.023556615,"HC",0,0,0.75,0,0.75,0,1,0,NA,5
6,-0.027777778,400.1621622,-0.080472499,"HC",0.8385,0.756,0.088,0.9845,0.819,0.95,0.3115,5e-04,NA,6
7,-0.003508772,307.0630631,-0.037301587,"HC",0.392156863,0.986928105,0.039215686,0.333333333,0.209150327,0,1,0.241830065,NA,7
8,-0.021428571,318.9047619,-0.039115646,"HC",1,0.571428571,1,1,1,0.857142857,0,1,NA,8
9,-0.177083333,443.1415094,0.321428571,"HC",0.137254902,0.08496732,1,0.986928105,0.91503268,0,0.633986928,NA,NA,9
10,0.044444444,282.826087,1.743034448,"HC",0.053077357,0.243929983,0.125352908,0.720496894,0.741389046,0.941840768,0.810841333,0.405420666,NA,10
11,0.216666667,314.9083969,-0.068330072,"HC",0.935897436,0.897435897,0.358974359,1,0.41025641,0.538461538,1,0.102564103,NA,11
12,0.15530303,371.76,0.029761905,"HC",1,0,0,0.5,1,0,0.75,0.75,NA,12
13,0.088888889,271.2377049,97.26984127,"HC",0.0015,0,0.996,0.082,0.416,0.983,0.9985,0.997,NA,13
14,-0.022321429,351.0661765,0.045129459,"HC",0.683116883,0.036363636,0.087012987,1,0.266233766,0.766883117,0.151298701,0.784415584,NA,14
15,0.195138889,296.6779661,-0.522237197,"HC",0,0,0.2,1,0.8,1,0,1,NA,15
16,-0.027777778,341.4552846,-0.178571429,"HC",0,1,0,1,1,0,0,0,NA,16
17,0.068421053,347,-0.15260771,"HC",1,0.980952381,0.152380952,1,0.380952381,0,0.019047619,0.00952381,NA,17
18,0.029824561,353.7479675,0.096747653,"HC",0.832,0,0.2935,0.1935,0.9985,0.2985,1,0.9665,NA,18
19,-0.012820513,357.1908397,-0.032142857,"HC",1,0.4,0,0,0.7,0.7,0,0.5,NA,19
20,-0.035714286,465.5614035,0.020634921,"HC",0.192307692,0.794871795,1,0.679487179,0.358974359,0.08974359,0.807692308,0.666666667,NA,20
21,-0.003968254,384.1367521,0.106493506,"HC",0.2,1,0.763636364,0.781818182,1,0.345454545,NA,NA,NA,21
22,0.085227273,332.75,-0.101360544,"HC",1,0.980952381,0.876190476,0,0.352380952,0,0,0.80952381,NA,22
23,0.104166667,360.5882353,0.220238095,"HC",0.010526316,0.263157895,0.884210526,0.105263158,0.821052632,0.147368421,0.615789474,0,NA,23
24,-0.036210317,408.907563,-0.036904762,"HC",0.661764706,0.007352941,0.007352941,0.25,0.470588235,0,0.308823529,0.125,NA,24
1,0.079861111,295.1300813,-0.072539683,"M1",0.961538462,1,1,0.012820513,0.435897436,0.012820513,1,0.487179487,NA,1
2,0.035897436,402.4227642,-3.345238095,"M1",0.010989011,0.912087912,0.747252747,0,0.494505495,0.010989011,0.406593407,0.175824176,NA,2
3,0.159191176,367.9818182,0.056122449,"M1",0.875,0,0.125,0,0,0.75,0.875,NA,NA,3
4,0.194444444,288.9256198,-0.021825397,"M1",0.666666667,0.111111111,0,0.666666667,0.777777778,0,0,0.555555556,NA,4
5,0.075,296.7226891,0.460952381,"M1",0,0.320512821,0.141025641,0.076923077,0.858974359,1,0.782051282,0.076923077,NA,5
6,-0.027777778,400.1621622,0.006802721,"M1",0.692307692,0.978021978,0,0.582417582,0.989010989,0.769230769,0.791208791,0.494505495,NA,6
7,-0.003508772,307.0630631,0.488095238,"M1",0.08974359,0.858974359,0,0.012820513,0.884615385,1,0.192307692,0.538461538,NA,7
8,-0.021428571,318.9047619,-0.10340803,"M1",1,1,0.065359477,1,0.104575163,0,0.77124183,0.078431373,NA,8
9,-0.177083333,443.1415094,0.080357143,"M1",0.571428571,0.285714286,0.142857143,0,0.428571429,0.142857143,1,NA,NA,9
10,0.044444444,282.826087,-0.080519481,"M1",1,1,0.545454545,1,0.945454545,0.618181818,0.072727273,0.672727273,NA,10
11,0.216666667,314.9083969,-1.425595238,"M1",0.033333333,0.958333333,0.708333333,0.525,0.791666667,0.008333333,0.316666667,0.183333333,NA,11
12,0.15530303,371.76,-0.220238095,"M1",0.5,0.75,1,0.5,0.75,0.25,0,0,NA,12
13,0.088888889,271.2377049,-0.350198413,"M1",0.1,0.116666667,1,0.975,0.608333333,0.375,0.116666667,0,NA,13
14,-0.022321429,351.0661765,0.00170068,"M1",1,0,0.857142857,0,0.428571429,0.142857143,0.571428571,0.857142857,NA,14
15,0.195138889,296.6779661,-0.069124424,"M1",0.295238095,1,0.304761905,0.676190476,0.180952381,0.20952381,0.8,0.304761905,NA,15
16,-0.027777778,341.4552846,-0.26521164,"M1",0.171428571,0.59047619,0.933333333,0.247619048,0.80952381,0.238095238,0.038095238,0.238095238,NA,16
17,0.068421053,347,0.015462507,"M1",0.956043956,0.076923077,0.285714286,0,0.307692308,0.21978022,0.241758242,1,NA,17
18,0.029824561,353.7479675,0.196428571,"M1",0.6,0,0,0,0,0.7,1,1,NA,18
19,-0.012820513,357.1908397,-0.072204969,"M1",0.696969697,0.060606061,0.287878788,0.318181818,0,0.409090909,0.181818182,0,NA,19
20,-0.035714286,465.5614035,0.028846154,"M1",0,0.787878788,0.5,0.303030303,0.787878788,0.454545455,0.909090909,0,NA,20
21,-0.003968254,384.1367521,2.457142857,"M1",0.021978022,0.967032967,1,0.956043956,0,0.989010989,NA,NA,NA,21
22,0.085227273,332.75,-0.361647362,"M1",0.194736842,0.310526316,1,0.005263158,0.005263158,0,0,0,NA,22
23,0.104166667,360.5882353,0.023809524,"M1",0.941520468,0,0.85380117,0.625730994,0.128654971,0,0.906432749,1,NA,23
24,-0.036210317,408.907563,-0.029761905,"M1",0.2,0.6,0.6,0.9,0.7,0.3,1,0,NA,24
